,scientific_name,park_name,observations,category,common_names,conservation_status
12466,Trifolium dubium,Yosemite National Park,138,Vascular Plant,"Smaller Hop-Clover, Suckling Clover",Not Listed
12467,Trifolium dubium,Yosemite National Park,138,Vascular Plant,"Hop Clover, Smallhop Clover, Suckling Clover",Not Listed
12468,Prunus virginiana,Bryce National Park,120,Vascular Plant,"Choke Cherry, Chokecherry",Not Listed
12469,Verbena brasiliensis,Great Smoky Mountains National Park,65,Vascular Plant,"Blue Vervain, Brazillian Vervain",Not Listed
12470,Pleopeltis polypodioides,Yosemite National Park,160,Vascular Plant,Resurrection Fern,Not Listed
12471,Sanicula tuberosa,Great Smoky Mountains National Park,74,Vascular Plant,Turkey Pea,Not Listed
12472,Vicia cracca ssp. cracca,Yellowstone National Park,233,Vascular Plant,Bird Vetch,Not Listed
12473,Pycnanthemum muticum,Yosemite National Park,174,Vascular Plant,"Blunt Mountainmint, Clustered Mountainmint",Not Listed
12474,Prunus virginiana var. melanocarpa,Bryce National Park,86,Vascular Plant,"Black Chokecherry, Choke Cherry",Not Listed
12475,Isoetes macrospora,Great Smoky Mountains National Park,72,Vascular Plant,Lake Quillwort,Not Listed
12476,Chaenactis glabriuscula var. heterocarpha,Yellowstone National Park,268,Vascular Plant,Yellow Pincushion,Not Listed
12477,Tauschia hartwegii,Yosemite National Park,138,Vascular Plant,Hartweg's Umbrellawort,Not Listed
12478,Arnica fulgens,Great Smoky Mountains National Park,77,Vascular Plant,"Foothill Arnica, Orange Arnica, Shining Leopardbane",Not Listed
12479,Carya glabra,Great Smoky Mountains National Park,78,Vascular Plant,"Pignut Hickory, Sweet Pignut Hickory",Not Listed
12480,Gratiola neglecta,Yellowstone National Park,282,Vascular Plant,"Clammy Hedge-Hyssop, Hedge-Hyssop",Not Listed
12481,Gratiola neglecta,Yellowstone National Park,282,Vascular Plant,"Clammy Hedgehyssop, Clammy Hedge-Hyssop, Drug Hedgehyssop, Hedge Hyssop, Neglected Hedgehyssop",Not Listed
12482,Senecio canus,Bryce National Park,69,Vascular Plant,Woolly Groundsel,Not Listed
12483,Ranunculus occidentalis,Great Smoky Mountains National Park,69,Vascular Plant,Western Buttercup,Not Listed
12484,Pastinaca sativa,Great Smoky Mountains National Park,75,Vascular Plant,"Parsnip, Wild Parsnip",Not Listed
12485,Pastinaca sativa,Great Smoky Mountains National Park,75,Vascular Plant,Wild Parsnip,Not Listed
12486,Hamamelis virginiana,Yosemite National Park,160,Vascular Plant,"American Witch-Hazel, Witch-Hazel",Not Listed
12487,Hypericum densiflorum,Bryce National Park,82,Vascular Plant,"Bushy St. John's-Wort, Shrubby St. John's-Wort",Not Listed
12488,Aletris farinosa,Yellowstone National Park,216,Vascular Plant,"Colic Root, White-Tubed Colicroot",Not Listed
12489,Leucopoa kingii,Great Smoky Mountains National Park,60,Vascular Plant,"Spike Fescue, Spike-Fescue",Not Listed
12490,Claytonia lanceolata,Yosemite National Park,163,Vascular Plant,Lanceleaf Springbeauty,Not Listed
12491,Plantago tweedyi,Bryce National Park,89,Vascular Plant,Tweedy's Plantain,Not Listed
12492,Salvia lyrata,Yellowstone National Park,249,Vascular Plant,"Lyre-Leaf Sage, Lyre-Leaved Sage",Not Listed
12493,Yabea microcarpa,Great Smoky Mountains National Park,61,Vascular Plant,"False Carrot, False Hedge-Parsley, Falsecarrot",Not Listed
12494,Plantago lanceolata,Yosemite National Park,136,Vascular Plant,"English Plantain, Ribgrass",Not Listed
12495,Plantago lanceolata,Yosemite National Park,136,Vascular Plant,"Buckhorn Plantain, English Plantain, Lanceleaf Indianwheat, Lanceleaf Plantain, Narrowleaf Plantain, Ribgrass, Ribwort",Not Listed
12496,Melospiza melodia,Yellowstone National Park,235,Bird,Song Sparrow,Not Listed
12497,Tortula fragilis,Yellowstone National Park,259,Nonvascular Plant,Fragmented Screw-Moss,Not Listed
12498,Lupinus breweri var. breweri,Great Smoky Mountains National Park,32,Vascular Plant,Brewer's Lupine,Not Listed
12499,Layia pentachaeta ssp. pentachaeta,Great Smoky Mountains National Park,69,Vascular Plant,Sierra Tidytips,Not Listed
12500,Eurycea wilderae,Yosemite National Park,157,Amphibian,Blue Ridge Two-Lined Salamander,Not Listed
12501,Phenacobius crassilabrum,Yosemite National Park,168,Fish,Fatlips Minnow,Not Listed
12502,Carex nebrascensis,Yellowstone National Park,226,Vascular Plant,Nebraska Sedge,Not Listed
12503,Phoradendron densum,Yellowstone National Park,246,Vascular Plant,Dense Mistletoe,Not Listed
12504,Solidago,Yellowstone National Park,254,Vascular Plant,Goldenrod,Not Listed
12505,Carex normalis,Yellowstone National Park,244,Vascular Plant,"A Sedge, Sedge",Not Listed
12506,Castilleja pilosa,Yellowstone National Park,261,Vascular Plant,"Hairy Paintbrush, Parrothead Indian Paintbrush",Not Listed
12507,Psilocarphus tenellus var. tenellus,Yosemite National Park,143,Vascular Plant,Slender Woollyheads,Not Listed
12508,Carex tonsa var. rugosperma,Yosemite National Park,161,Vascular Plant,Parachute Sedge,Not Listed
12509,Carex rossii,Yellowstone National Park,262,Vascular Plant,"Ross Sedge, Ross' Sedge, Ross's Sedge, Shortstemmed Sedge",Not Listed
12510,Bidens tripartita,Yosemite National Park,128,Vascular Plant,"Stick-Tight, Three-Lobe Beggar-Ticks",Not Listed
12511,Bidens tripartita,Yosemite National Park,128,Vascular Plant,"Threelobe Beggarticks, Three-Lobe Beggarticks",Not Listed
12512,Carex atlantica,Bryce National Park,109,Vascular Plant,Prickly Bog Sedge,Not Listed
12513,Philadelphus inodorus var. strigosus,Yosemite National Park,167,Vascular Plant,Mock-Orange,Not Listed
12514,Solanum ptychanthum,Yellowstone National Park,243,Vascular Plant,Nightshade,Not Listed
12515,Tringa incana,Bryce National Park,114,Bird,Wandering Tattler,Not Listed
12516,Clintonia umbellulata,Yosemite National Park,166,Vascular Plant,"Speckled Wood Lily, White Clintonia",Not Listed
12517,Antennaria media,Great Smoky Mountains National Park,80,Vascular Plant,Rocky Mountain Pussytoes,Not Listed
12518,Phlox subulata,Great Smoky Mountains National Park,94,Vascular Plant,Moss Phlox,Not Listed
12519,Paspalum boscianum,Yellowstone National Park,241,Vascular Plant,Bull Crowngrass,Not Listed
12520,Heuchera rubescens var. alpicola,Yellowstone National Park,281,Vascular Plant,Pink Alumroot,Not Listed
12521,Stachys nuttallii,Yosemite National Park,157,Vascular Plant,Hairy Hedge-Nettle,Not Listed
12522,Sorghum bicolor,Great Smoky Mountains National Park,62,Vascular Plant,"Black Amber, Broomcorn, Broom-Corn, Chicken Corn, Shatter Cane, Shattercane, Sorghum, Wild Cane",Not Listed
12523,Saxifraga oppositifolia,Yosemite National Park,173,Vascular Plant,"Purple Mountain Saxifrage, Purple Saxifrage",Not Listed
12524,Trichostema lanceolatum,Bryce National Park,115,Vascular Plant,Vinegarweed,Not Listed
12525,Lepomis humilis,Great Smoky Mountains National Park,93,Fish,Orangespotted Sunfish,Not Listed
12526,Sciurus niger,Great Smoky Mountains National Park,94,Mammal,"Eastern Fox Squirrel, Fox Squirrel",Not Listed
12527,Carex caroliniana,Bryce National Park,110,Vascular Plant,"Carolina Sedge, Hirsute Sedge",Not Listed
12528,Isopterygium tenerum,Great Smoky Mountains National Park,63,Nonvascular Plant,Isopterygium Moss,Not Listed
12529,Nemophila aphylla,Yosemite National Park,162,Vascular Plant,Nemophila,Not Listed
12530,Aulacomnium heterostichum,Bryce National Park,91,Nonvascular Plant,Aulacomnium Moss,Not Listed
12531,Luzula multiflora,Yellowstone National Park,252,Vascular Plant,"Common Woodrush, Wood-Rush",Not Listed
12532,Luzula multiflora,Yellowstone National Park,252,Vascular Plant,"Common Woodrush, Common Wood-Rush",Not Listed
12533,Gayophytum eriospermum,Great Smoky Mountains National Park,95,Vascular Plant,Coville's Groundsmoke,Not Listed
12534,Sedum spathulifolium,Great Smoky Mountains National Park,53,Vascular Plant,Broadleaf Stonecrop,Not Listed
12535,Viola bicolor,Bryce National Park,115,Vascular Plant,"Field Pansy, Wild Pansy",Not Listed
12536,Phyla lanceolata,Bryce National Park,68,Vascular Plant,Lanceleaf Fogfruit,Not Listed
12537,Polygonum aviculare,Yellowstone National Park,286,Vascular Plant,Bird Knotweed,Not Listed
12538,Polygonum aviculare,Yellowstone National Park,286,Vascular Plant,"Prostrate Knotweed, Yard Knotweed",Not Listed
12539,Haemorhous cassinii,Bryce National Park,136,Bird,Cassin's Finch,Not Listed
12540,Calypogeja neesiana,Great Smoky Mountains National Park,75,Nonvascular Plant,Nees' Calypogeja,Not Listed
12541,Tamiasciurus hudsonicus,Great Smoky Mountains National Park,54,Mammal,Red Squirrel,Not Listed
12542,Mimus polyglottos,Great Smoky Mountains National Park,84,Bird,"Mockingbird, Northern Mockingbird",Not Listed
12543,Mimus polyglottos,Great Smoky Mountains National Park,84,Bird,Northern Mockingbird,Not Listed
12544,Rhus hirta,Yosemite National Park,153,Vascular Plant,Staghorn Sumac,Not Listed
12545,Corynorhinus rafinesquii,Bryce National Park,57,Mammal,Rafinesque's Big-Eared Bat,Not Listed
12546,Purshia tridentata,Great Smoky Mountains National Park,92,Vascular Plant,Antelope Bitterbrush,Not Listed
12547,Bromus tectorum,Yellowstone National Park,277,Vascular Plant,"Bromegrass, Cheat Grass",Not Listed
12548,Bromus tectorum,Yellowstone National Park,277,Vascular Plant,"Cheat Grass, Cheatgrass, Downy Brome, Early Chess, Military Grass, Wild Oats",Not Listed
12549,Cardaria draba,Bryce National Park,62,Vascular Plant,"Globed-Podded Hoarycress, Heart-Pod Hoarycress, Heart-Podded Hoarycress, Hoary Cress, Peppergrass, Pepperweed Whitetop, Whitetop, Whiteweed",Not Listed
12550,Microtus pennsylvanicus,Yosemite National Park,156,Mammal,Meadow Vole,Not Listed
12551,Erigeron strigosus,Yosemite National Park,161,Vascular Plant,"Daisy Fleabane, Daisy-Fleabane",Not Listed
12552,Erigeron strigosus,Yosemite National Park,161,Vascular Plant,"Daisy Fleabane, Prairie Fleabane, Rough Fleabane",Not Listed
12553,Carex aquatilis var. aquatilis,Yosemite National Park,173,Vascular Plant,"Leafy Tussock Sedge, Water Sedge",Not Listed
12554,Bison bison,Great Smoky Mountains National Park,117,Mammal,"Bison, Buffalo",Not Listed
12555,Dianthus armeria,Yellowstone National Park,223,Vascular Plant,"Deptford Pink, Deptford-Pink",Not Listed
12556,Dianthus armeria,Yellowstone National Park,223,Vascular Plant,Deptford Pink,Not Listed
12557,Saxifraga aprica,Great Smoky Mountains National Park,103,Vascular Plant,Sierra Saxifrage,Not Listed
12558,Elephantopus tomentosus,Great Smoky Mountains National Park,67,Vascular Plant,"Hairy Tobaccoweed, Tobaccoweed",Not Listed
12559,Spermophilus armatus,Yellowstone National Park,255,Mammal,Uinta Ground Squirrel,Not Listed
12560,Rubus discolor,Great Smoky Mountains National Park,66,Vascular Plant,"Himalaya Blackberry, Himalayan Blackberry",Not Listed
12561,Populus balsamifera ssp. balsamifera,Yosemite National Park,146,Vascular Plant,Balm Of Gilead,Not Listed
12562,Datisca glomerata,Yellowstone National Park,228,Vascular Plant,Durango Root,Not Listed
12563,Krascheninnikovia lanata,Great Smoky Mountains National Park,38,Vascular Plant,Winterfat,Not Listed
12564,Echinochloa colona,Great Smoky Mountains National Park,31,Vascular Plant,"Barnyard Grass, Jungle-Rice",Not Listed
12565,Phenacomys intermedius,Great Smoky Mountains National Park,64,Mammal,"Heather Vole, Western Heather Vole",Not Listed
12566,Tortella humilis,Great Smoky Mountains National Park,62,Nonvascular Plant,Tortella Moss,Not Listed
12567,Pleuridium subulatum,Yosemite National Park,141,Nonvascular Plant,Pleuridium Moss,Not Listed
12568,Lonicera involucrata var. involucrata,Yellowstone National Park,245,Vascular Plant,Twinberry Honeysuckle,Not Listed
12569,Lotus argophyllus var. fremontii,Great Smoky Mountains National Park,64,Vascular Plant,Fremont's Birdsfoot Trefoil,Not Listed
12570,Viola sagittata,Bryce National Park,97,Vascular Plant,Arrow-Leaved Violet,Not Listed
12571,Sternotherus odoratus,Great Smoky Mountains National Park,51,Reptile,Common Musk Turtle,Not Listed
12572,Melanitta nigra,Yosemite National Park,152,Bird,Black Scoter,Not Listed
12573,Osmorhiza occidentalis,Yellowstone National Park,245,Vascular Plant,"Sweetanise, Western Sweetroot",Not Listed
12574,Myotis lucifugus,Great Smoky Mountains National Park,58,Mammal,"Little Brown Bat, Little Brown Myotis",Species Of Concern
12575,Myotis lucifugus,Great Smoky Mountains National Park,58,Mammal,"Little Brown Bat, Little Brown Myotis, Little Brown Myotis",Species Of Concern
12576,Myotis lucifugus,Great Smoky Mountains National Park,58,Mammal,Little Brown Myotis,Species Of Concern
12577,Carpodacus mexicanus,Yosemite National Park,137,Bird,House Finch,Not Listed
12578,Adoxa moschatellina,Yosemite National Park,155,Vascular Plant,Muskroot,Not Listed
12579,Sericocarpus linifolius,Bryce National Park,145,Vascular Plant,Narrowleaf Whitetop Aster,Not Listed
12580,Junco hyemalis,Yellowstone National Park,233,Bird,Dark-Eyed Junco,Not Listed
12581,Dendroica discolor,Yellowstone National Park,280,Bird,Prairie Warbler,Not Listed
12582,Soliva sessilis,Bryce National Park,99,Vascular Plant,Field Soliva,Not Listed
12583,Soliva sessilis,Bryce National Park,99,Vascular Plant,"Field Burrweed, Field Soliva",Not Listed
12584,Lycopodium complanatum,Bryce National Park,86,Vascular Plant,Running-Pine,Not Listed
12585,Chenopodium glaucum var. salinum,Yosemite National Park,130,Vascular Plant,Rocky Mountain Goosefoot,Not Listed
12586,Cynoglossum occidentale,Yellowstone National Park,234,Vascular Plant,Western Hound's Tongue,Not Listed
12587,Lonicera interrupta,Great Smoky Mountains National Park,101,Vascular Plant,Chaparral Honeysuckle,Not Listed
12588,Eumops perotis,Bryce National Park,113,Mammal,Western Mastiff Bat,Not Listed
12589,Pinus palustris,Bryce National Park,101,Vascular Plant,Longleaf Pine,Not Listed
12590,Anastrophyllum helleranum,Yellowstone National Park,233,Nonvascular Plant,Heller's Anastrophyllum,Not Listed
12591,Sterna caspia,Yellowstone National Park,260,Bird,Caspian Tern,Not Listed
12592,Eriophorum gracile,Yosemite National Park,113,Vascular Plant,"Slender Cottongrass, Slender Cotton-Grass, Slender Cottonsedge",Not Listed
12593,Mentzelia dispersa,Bryce National Park,147,Vascular Plant,"Bushy Blazingstar, Nevada Blazingstar, Scattered Blazingstar",Not Listed
12594,Madia elegans ssp. vernalis,Bryce National Park,74,Vascular Plant,Spring Madia,Not Listed
12595,Lespedeza hirta,Yellowstone National Park,268,Vascular Plant,Hairy Bush-Clover,Not Listed
12596,Tetrodontium brownianum,Bryce National Park,119,Nonvascular Plant,Brown's Tetrodontium Moss,Not Listed
12597,Lampropeltis getula nigra,Great Smoky Mountains National Park,74,Reptile,Black Kingsnake,Not Listed
12598,Dichanthelium dichotomum var. dichotomum,Bryce National Park,105,Vascular Plant,Small Panic Grass,Not Listed
12599,Juncus ensifolius var. montanus,Great Smoky Mountains National Park,48,Vascular Plant,Rocky Mountain Rush,Not Listed
12600,Geranium carolinianum,Yellowstone National Park,249,Vascular Plant,"Carolina Cranesbill, Carolina Crane's-Bill",Not Listed
12601,Geranium carolinianum,Yellowstone National Park,249,Vascular Plant,"Carolina Crane's-Bill, Carolina Geranium",Not Listed
12602,Cyperus iria,Great Smoky Mountains National Park,58,Vascular Plant,Ricefield Flatsedge,Not Listed
12603,Potamogeton pusillus ssp. tenuissimus,Bryce National Park,99,Vascular Plant,Small Pondweed,Not Listed
12604,Spermophilus armatus,Great Smoky Mountains National Park,66,Mammal,Uinta Ground Squirrel,Not Listed
12605,Silene ovata,Yellowstone National Park,211,Vascular Plant,"Mountain Catchfly, Rough-Leaved Campion",Species Of Concern
12606,Calamagrostis canadensis,Yosemite National Park,147,Vascular Plant,Bluejoint,Not Listed
12607,Calamagrostis canadensis,Yosemite National Park,147,Vascular Plant,"Bluejoint, Bluejoint Reedgrass",Not Listed
12608,Sedum obtusatum ssp. obtusatum,Yosemite National Park,171,Vascular Plant,"Sierra Stonecrop, Sierran Stonecrop",Not Listed
12609,Pelecanus occidentalis,Great Smoky Mountains National Park,47,Bird,Brown Pelican,In Recovery
12610,Viola X primulifolia,Great Smoky Mountains National Park,65,Vascular Plant,Primrose-Leaved Violet,Not Listed
12611,Asclepias cordifolia,Great Smoky Mountains National Park,82,Vascular Plant,"Heartleaf Milkweed, Purple Milkweed",Not Listed
12612,Glaucomys sabrinus,Great Smoky Mountains National Park,82,Mammal,Northern Flying Squirrel,Not Listed
12613,Lithophragma parviflorum,Yosemite National Park,119,Vascular Plant,Smallflower Woodland-Star,Not Listed
12614,Campylostelium saxicola,Bryce National Park,132,Nonvascular Plant,Campylostelium Moss,Not Listed
12615,Solidago curtisii,Yellowstone National Park,243,Vascular Plant,Mountain Decumbent Goldenrod,Not Listed
12616,Sherardia arvensis,Great Smoky Mountains National Park,78,Vascular Plant,"Field Madder, Silver Buffalo-Berry",Not Listed
12617,Empidonax hammondii,Great Smoky Mountains National Park,54,Bird,Hammond's Flycatcher,Not Listed
12618,Saponaria officinalis,Yellowstone National Park,272,Vascular Plant,"Bouncing-Bet, Soapwort, Bouncing-Bet",Not Listed
12619,Saponaria officinalis,Yellowstone National Park,272,Vascular Plant,"Bouncing Bet, Bouncingbet, Bouncingbet Soapweed, Soapwort, Sweet Betty",Not Listed
12620,Echinochloa crus-galli,Bryce National Park,116,Vascular Plant,Barnyard Grass,Not Listed
12621,Echinochloa crus-galli,Bryce National Park,116,Vascular Plant,"Barnyard Grass, Barnyardgrass, Cockspur, Japanese Millet, Large Barnyard Grass, Watergrass",Not Listed
12622,Phleum pratense,Yellowstone National Park,271,Vascular Plant,"Common Timothy, Meadow Timothy",Not Listed
12623,Phleum pratense,Yellowstone National Park,271,Vascular Plant,"Common Timothy, Timothy",Not Listed
12624,Luzula glabrata var. hitchcockii,Yellowstone National Park,240,Vascular Plant,Hitchcock's Smooth Woodrush,Not Listed
12625,Smilax biltmoreana,Yosemite National Park,159,Vascular Plant,Carrion Flower,Not Listed
12626,Quercus stellata,Bryce National Park,100,Vascular Plant,Post Oak,Not Listed
12627,Eryngium yuccifolium,Bryce National Park,92,Vascular Plant,Rattlesnake-Master,Not Listed
12628,Hypochaeris glabra,Yellowstone National Park,258,Vascular Plant,"Smooth Cat's Ear, Smooth Catsear",Not Listed
12629,Agastache scrophulariifolia,Great Smoky Mountains National Park,55,Vascular Plant,"Giant Hyssop, Purple Giant Hyssop",Not Listed
12630,Carex granularis,Great Smoky Mountains National Park,89,Vascular Plant,Granular Sedge,Not Listed
12631,Rosa woodsii var. ultramontana,Great Smoky Mountains National Park,111,Vascular Plant,Woods' Rose,Not Listed
12632,Artemisia ludoviciana ssp. mexicana,Yosemite National Park,150,Vascular Plant,White Sage,Not Listed
12633,Epifagus virginiana,Great Smoky Mountains National Park,97,Vascular Plant,Beechdrops,Not Listed
12634,Ondatra zibethicus,Yellowstone National Park,275,Mammal,Muskrat,Not Listed
12635,Ondatra zibethicus,Yellowstone National Park,275,Mammal,"Common Muskrat, Muskbeaver, Muskrat",Not Listed
12636,Eragrostis pilosa var. pilosa,Great Smoky Mountains National Park,84,Vascular Plant,Indian Lovegrass,Not Listed
12637,Parula americana,Yosemite National Park,156,Bird,Northern Parula,Not Listed
12638,Pyrola asarifolia,Yosemite National Park,140,Vascular Plant,"Bog Wintergreen, Liverleaf Wintergreen, Pink Wintergreen",Not Listed
12639,Tridens flavus,Yellowstone National Park,250,Vascular Plant,"Purpletop Tridens, Tall Purple-Top Fluffgrass",Not Listed
12640,Ageratina aromatica var. aromatica,Bryce National Park,110,Vascular Plant,Lesser Snakeroot,Not Listed
12641,Erigeron tener,Yellowstone National Park,228,Vascular Plant,"Slender Daisy, Slender Fleabane",Not Listed
12642,Spinus lawrencei,Bryce National Park,111,Bird,Lawrence's Goldfinch,Not Listed
12643,Tyrannus tyrannus,Yosemite National Park,150,Bird,Eastern Kingbird,Not Listed
12644,Cicuta maculata var. angustifolia,Bryce National Park,124,Vascular Plant,"Common Water Hemlock, Poison Parsnip, Spotted Cowbane, Spotted Parsley, Spotted Water Hemlock, Spotted Water-Hemlock, Water Hemlock",Not Listed
12645,Linnaea borealis var. longiflora,Great Smoky Mountains National Park,96,Vascular Plant,Longtube Twinflower,Not Listed
12646,Carex limosa,Yosemite National Park,153,Vascular Plant,Mud Sedge,Not Listed
12647,Ranunculus inamoenus var. inamoenus,Yellowstone National Park,228,Vascular Plant,Graceful Buttercup,Not Listed
12648,Apocynum cannabinum,Bryce National Park,88,Vascular Plant,"Clasping-Leaf Dogbane, Indianhemp",Not Listed
12649,Apocynum cannabinum,Bryce National Park,88,Vascular Plant,"Common Dogbane, Dogbane, Hemp Dogbane, Indian Hemp, Indian-Hemp, Prairie Dogbane",Not Listed
12650,Claytonia virginica var. acutiflora,Great Smoky Mountains National Park,89,Vascular Plant,Virginia Springbeauty,Not Listed
12651,Lasthenia californica,Yellowstone National Park,243,Vascular Plant,"California Goldfields, Goldfields",Not Listed
12652,Gilia capitata ssp. pedemontana,Yellowstone National Park,276,Vascular Plant,Bluehead Gilia,Not Listed
12653,Polygonum setaceum,Yosemite National Park,171,Vascular Plant,"Smartweed, Swamp Smartweed",Not Listed
12654,Kumlienia hystricula,Great Smoky Mountains National Park,46,Vascular Plant,Waterfall False Buttercup,Not Listed
12655,Polygonum caespitosum var. longisetum,Yosemite National Park,179,Vascular Plant,"Oriental Lady's Thumb, Oriental Ladysthumb",Not Listed
12656,Rorippa nasturtium-aquaticum,Yellowstone National Park,218,Vascular Plant,"True Watercress, Watercress",Not Listed
12657,Rorippa nasturtium-aquaticum,Yellowstone National Park,218,Vascular Plant,Watercress,Not Listed
12658,Viola pubescens,Yellowstone National Park,240,Vascular Plant,Downy Yellow Violet,Not Listed
12659,Clangula hyemalis,Yosemite National Park,106,Bird,"Long-Tailed Duck, Oldsquaw",Not Listed
12660,Clethrionomys gapperi gapperi,Yellowstone National Park,270,Mammal,Gapper's Red-Backed Vole,Not Listed
12661,Iris hartwegii ssp. hartwegii,Yellowstone National Park,244,Vascular Plant,"Hartweg's Iris, Rainbow Iris",Not Listed
12662,Tephrosia spicata,Yellowstone National Park,265,Vascular Plant,"Spike Goat's Rue, Spiked Hoary-Pea",Not Listed
12663,Gallinago delicata,Yosemite National Park,117,Bird,Wilson's Snipe,Not Listed
12664,Cardamine angustata,Yellowstone National Park,244,Vascular Plant,Pepperwort,Not Listed
12665,Melanthium parviflorum,Great Smoky Mountains National Park,65,Vascular Plant,"Small-Flowered False Hellebore, Small-Flowered False-Helleborne",Not Listed
12666,Schedonnardus paniculatus,Bryce National Park,120,Vascular Plant,"Tumble Grass, Tumbleggrass, Tumblegrass",Not Listed
12667,Carex abscondita,Great Smoky Mountains National Park,60,Vascular Plant,Thicket Sedge,Not Listed
12668,Cucumis melo,Yosemite National Park,152,Vascular Plant,Canteloupe,Not Listed
12669,Nocomis micropogon,Great Smoky Mountains National Park,96,Fish,River Chub,Not Listed
12670,Buxus sempervirens,Bryce National Park,125,Vascular Plant,"Boxwood, Common Boxwood",Not Listed
12671,Oreothlypis virginiae,Yosemite National Park,134,Bird,Virginia's Warbler,Not Listed
12672,Carex rupestris,Great Smoky Mountains National Park,67,Vascular Plant,"Curly Sedge, Rock Sedge",Not Listed
12673,Ruellia caroliniensis ssp. caroliniensis var. caroliniensis,Bryce National Park,85,Vascular Plant,Carolina Wild Petunia,Not Listed
12674,Arnica chamissonis ssp. foliosa,Yosemite National Park,145,Vascular Plant,Chamisso Arnica,Not Listed
12675,Cornus foemina,Bryce National Park,91,Vascular Plant,"Stiff Dogwood, Swamp Dogwood",Not Listed
12676,Commelina communis,Yosemite National Park,127,Vascular Plant,"Asiatic Dayflower, Common Dayflower",Not Listed
12677,Lespedeza violacea,Great Smoky Mountains National Park,146,Vascular Plant,Violet Bush-Clover,Not Listed
12678,Taxidea taxus,Yellowstone National Park,261,Mammal,"American Badger, Badger",Species Of Concern
12679,Taxidea taxus,Yellowstone National Park,261,Mammal,Badger,Species Of Concern
12680,Desmodium perplexum,Great Smoky Mountains National Park,49,Vascular Plant,"Perplexed Tick-Trefoil, Tick-Trefoil",Not Listed
12681,Polygonum minimum,Yellowstone National Park,234,Vascular Plant,"Broadleaf Knotweed, Dwarf Knotweed, Zigzag Knotweed",Not Listed
12682,Rigiopappus leptocladus,Yosemite National Park,166,Vascular Plant,Wireweed,Not Listed
12683,Chamaea fasciata,Great Smoky Mountains National Park,92,Bird,Wrentit,Not Listed
12684,Crepis capillaris,Yellowstone National Park,247,Vascular Plant,"Hawk's Beard, Smooth Hawksbeard",Not Listed
12685,Crepis capillaris,Yellowstone National Park,247,Vascular Plant,"Smooth Hawksbeard, Smooth Hawk's-Beard",Not Listed
12686,Chimaphila umbellata,Bryce National Park,91,Vascular Plant,"Pipsissewa, Prince's Pine",Not Listed
12687,Viola purpurea ssp. venosa,Bryce National Park,125,Vascular Plant,"Goosefoot Violet, Goosefoot Yellow Violet",Not Listed
12688,Salix melanopsis,Bryce National Park,109,Vascular Plant,Dusky Willow,Not Listed
12689,Hydroprogne caspia,Great Smoky Mountains National Park,124,Bird,Caspian Tern,Not Listed
12690,Lolium multiflorum,Yosemite National Park,127,Vascular Plant,"Annual Ryegrass, Italian Ryegrass",Not Listed
12691,Spiraea betulifolia var. lucida,Yosemite National Park,128,Vascular Plant,Shinyleaf Spirea,Not Listed
12692,Arrhenatherum elatius,Yosemite National Park,156,Vascular Plant,Tall Oatgrass,Not Listed
12693,Cypseloides niger,Yellowstone National Park,194,Bird,Black Swift,Species Of Concern
12694,Lycoris radiata,Yosemite National Park,125,Vascular Plant,Magic Lily,Not Listed
12695,Wyethia elata,Great Smoky Mountains National Park,62,Vascular Plant,Hall's Mule-Ears,Not Listed
12696,Ipomopsis aggregata,Bryce National Park,113,Vascular Plant,"Scarlet Gilia, Skyrocket Gilia",Not Listed
12697,Galium multiflorum,Yellowstone National Park,224,Vascular Plant,"Manyflower Bedstraw, Shrubby Bedstraw",Not Listed
12698,Mentzelia dispersa,Yellowstone National Park,273,Vascular Plant,"Bushy Blazingstar, Nevada Blazingstar, Scattered Blazingstar",Not Listed
12699,Scirpus pendulus,Yellowstone National Park,236,Vascular Plant,Rufous Bulrush,Not Listed
12700,Lespedeza stuevei,Yellowstone National Park,235,Vascular Plant,Tall Lespedeza,Not Listed
12701,Avena barbata,Yosemite National Park,118,Vascular Plant,"Slender Oat, Slender Oats, Slender Wildoat",Not Listed
12702,Polygonum bistortoides,Great Smoky Mountains National Park,84,Vascular Plant,American Bistort,Not Listed
12703,Erigeron gracilis,Yosemite National Park,145,Vascular Plant,Quill Fleabane,Not Listed
12704,Pyrrhopappus carolinianus,Bryce National Park,120,Vascular Plant,"Carolina False-Dandelion, False Dandelion",Not Listed
12705,Trifolium campestre,Bryce National Park,104,Vascular Plant,"Low Hop Clover, Low Hop-Clover",Not Listed
12706,Trifolium campestre,Bryce National Park,104,Vascular Plant,"Big Hop Clover, Field Clover, Large Hop Clover, Lesser Hop Clover, Low Hop Clover",Not Listed
12707,Quercus michauxii,Yellowstone National Park,211,Vascular Plant,Swamp Chestnut Oak,Not Listed
12708,Atrichum undulatum,Bryce National Park,76,Nonvascular Plant,Undulate Atrichum Moss,Not Listed
12709,Achnatherum occidentale ssp. pubescens,Yosemite National Park,148,Vascular Plant,"Elmer's Needlegrass, Pubescent Western Needlegrass",Not Listed
12710,Carex multicostata,Great Smoky Mountains National Park,58,Vascular Plant,Manyrib Sedge,Not Listed
12711,Aythya affinis,Yosemite National Park,144,Bird,Lesser Scaup,Species Of Concern
12712,Epipactis helleborine,Great Smoky Mountains National Park,84,Vascular Plant,Helleborine,Not Listed
